gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
991747420	InteractiveResource	application/ld+json	https://iiif.rbge.org.uk/herb/iiif/E00688012/manifest			IIIF Manifest for specimen E00688012				Royal Botanic Garden Edinburgh			http://creativecommons.org/publicdomain/zero/1.0/	Royal Botanic Garden Edinburgh
865520658	StillImage	image/jpeg	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14996201&type=jpeg										http://creativecommons.org/licenses/by-sa/4.0/	
865512545	StillImage	image/jpeg	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14996165&type=jpeg										http://creativecommons.org/licenses/by-sa/4.0/	
865496664	StillImage	image/jpeg	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13248245&type=jpeg										http://creativecommons.org/licenses/by-sa/4.0/	
865496653	StillImage	image/jpeg	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13248236&type=jpeg										http://creativecommons.org/licenses/by-sa/4.0/	
865472528	StillImage	image/jpeg	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13248229&type=jpeg										http://creativecommons.org/licenses/by-sa/4.0/	
865469477	StillImage	image/jpeg	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13248676&type=jpeg										http://creativecommons.org/licenses/by-sa/4.0/	
736303898	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/358-10.jpg											
736303897	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/357-10.jpg											
736303896	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/356-10.jpg											
736303895	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/355-10.jpg											
736303894	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/354-10.jpg											
736303893	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/353-10.jpg											
736303883	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/150-01.jpg											
736303882	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/149-01.jpg											
736301367	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/389-11.jpg											
736301366	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/388-11.jpg											
736301365	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/387-11.jpg											
736301364	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/385-11.jpg											
736301363	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/384-11.jpg											
736301362	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/383-11.jpg											
736301361	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/382-11.jpg											
736301360	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/379-11.jpg											
736301359	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/378-11.jpg											
736301358	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/377-11.jpg											
736301357	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/376-11.jpg											
736301356	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/374-11.jpg											
736301355	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/373-11.jpg											
736301354	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/370-11.jpg											
736301353	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/366-11.jpg											
736301335	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/206-05.jpg											
736301320	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/381-11.jpg											
736301319	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/375-11.jpg											
736301318	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/361-10.jpg											
736301317	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/359-10.jpg											
736301299	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/151-01.jpg											
736301298	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/143-01.jpg											
736301297	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/138-01.jpg											
736301256	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/195-04.jpg											
736301254	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/146-01.jpg											
736301253	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/140-01.jpg											
736301240	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/198-05.jpg											
736301239	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/197-05.jpg											
736301238	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/196-05.jpg											
736301233	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/144-01.jpg											
736301232	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/141-01.jpg											
736301222	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/380-11.jpg											
736301221	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/371-11.jpg											
736301198	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/157-03.jpg											
736301197	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/156-03.jpg											
736301196	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/155-03.jpg											
736301195	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/148-01.jpg											
736301194	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/147-01.jpg											
736301193	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/145-01.jpg											
736301192	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/142-01.jpg											
736301191	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/137-01.jpg											
736301164	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/208-05.jpg											
736301163	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/207-05.jpg											
736301162	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/201-05.jpg											
736301161	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/199-05.jpg											
736301160	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/193-04.jpg											
736301159	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/192-04.jpg											
736301157	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/139-01.jpg											
736301135	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/340b-08.jpg											
736301130	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/205-05.jpg											
736301129	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/202-05.jpg											
736301128	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/194-04.jpg											
736301114	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/405-11.jpg											
736301113	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/372-11.jpg											
736301112	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/369-11.jpg											
736301111	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/365-10.jpg											
736301110	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/364-10.jpg											
736301109	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/363-10.jpg											
736301088	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/217-05.jpg											
736301087	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/216-05.jpg											
736301086	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/215-05.jpg											
736301080	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/167-03.jpg											
736301079	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/165-03.jpg											
736301058	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/203-05.jpg											
736301053	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/153-01.jpg											
736301052	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/136b-01.jpg											
736301051	StillImage	image/jpeg	http://cccryo.fraunhofer.de/sources/files/stammbilder/136a-01.jpg											
4076221423	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/264294734/original.jpeg	https://www.inaturalist.org/photos/264294734					2004-06-06T20:40:19Z	Mikko Heikkinen		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Mikko Heikkinen
4076147395	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/264296019/original.jpeg	https://www.inaturalist.org/photos/264296019					2004-06-06T17:06:29Z	Mikko Heikkinen		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Mikko Heikkinen
4076015385	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/264294730/original.jpeg	https://www.inaturalist.org/photos/264294730					2004-06-06T20:37:41Z	Mikko Heikkinen		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Mikko Heikkinen
4075641904	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/255811184/original.jpg	https://www.inaturalist.org/photos/255811184					2022-06-10T16:54:37Z	larochette		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	larochette
